Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LaMarcus Aldridge,28,69,69,36.2,9.4,20.6,.458,0.0,0.2,.200,9.4,20.4,.461,.459,4.3,5.2,.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2
2,Nicolas Batum,25,82,82,36.0,4.6,10.0,.465,1.8,4.9,.361,2.9,5.1,.566,.554,2.0,2.5,.803,1.4,6.0,7.5,5.1,0.9,0.7,2.5,1.9,13.0
3,Damian Lillard,23,82,82,35.8,6.7,15.9,.424,2.7,6.8,.394,4.1,9.1,.447,.508,4.5,5.2,.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.7
4,Wesley Matthews,27,82,82,33.9,5.4,12.3,.441,2.5,6.2,.393,3.0,6.1,.490,.541,3.1,3.7,.837,0.6,2.9,3.5,2.4,0.9,0.2,1.3,2.1,16.4
5,Robin Lopez,25,82,82,31.7,4.3,7.9,.551,0.0,0.0,.000,4.3,7.8,.552,.551,2.4,3.0,.818,4.0,4.6,8.5,0.9,0.3,1.7,1.0,2.4,11.1
6,Mo Williams,31,74,0,24.8,3.8,9.1,.417,1.1,3.0,.369,2.7,6.0,.441,.478,1.1,1.2,.876,0.6,1.5,2.1,4.3,0.7,0.1,2.0,2.7,9.7
7,Dorell Wright,28,68,13,14.5,1.6,4.4,.374,1.0,3.0,.342,0.6,1.4,.442,.490,0.8,1.0,.754,0.4,2.4,2.8,0.9,0.3,0.2,0.6,0.9,5.0
8,Joel Freeland,26,52,0,14.0,1.5,3.1,.475,0.0,0.0,.000,1.5,3.1,.481,.475,0.4,0.6,.690,1.7,2.3,4.0,0.7,0.2,0.4,0.6,1.8,3.3
9,C.J. McCollum,22,38,0,12.5,1.9,4.7,.416,0.8,2.1,.375,1.2,2.6,.449,.500,0.6,0.9,.676,0.2,1.1,1.3,0.7,0.4,0.1,0.9,1.4,5.3
10,Thomas Robinson,22,70,0,12.5,2.0,4.2,.481,0.0,0.0,.000,2.0,4.2,.483,.481,0.8,1.4,.564,1.5,2.9,4.4,0.5,0.3,0.3,0.8,1.9,4.8
11,Will Barton,23,41,0,9.4,1.6,3.8,.417,0.2,0.8,.303,1.3,3.0,.447,.449,0.6,0.8,.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4.0
12,Meyers Leonard,21,40,0,8.9,1.0,2.3,.451,0.0,0.2,.000,1.0,2.1,.482,.451,0.4,0.5,.762,0.7,2.1,2.8,0.5,0.2,0.1,0.4,1.9,2.5
13,Victor Claver,25,21,0,8.8,0.8,2.0,.405,0.1,0.9,.167,0.7,1.1,.583,.440,0.5,0.5,.909,0.4,1.4,1.9,0.6,0.1,0.1,0.5,0.8,2.2
14,Earl Watson,34,24,0,6.7,0.1,0.5,.273,0.1,0.3,.286,0.0,0.2,.250,.364,0.2,0.2,1.000,0.2,0.4,0.6,1.2,0.2,0.0,0.7,1.4,0.5
15,Allen Crabbe,21,15,0,6.7,0.8,2.2,.364,0.4,0.9,.429,0.4,1.3,.316,.455,0.2,0.3,.750,0.1,0.5,0.6,0.4,0.1,0.1,0.2,0.7,2.2
