Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LaMarcus Aldridge,26,55,55,36.3,8.8,17.1,.512,0.0,0.2,.182,8.7,16.9,.516,.513,4.1,5.0,.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.7
2,Gerald Wallace,29,42,42,35.8,4.8,10.2,.472,0.6,2.3,.265,4.2,7.9,.533,.502,3.0,3.8,.776,1.5,5.1,6.6,2.7,1.5,0.6,2.0,2.5,13.3
3,Wesley Matthews,25,66,53,33.8,4.8,11.6,.412,2.0,5.1,.383,2.8,6.5,.434,.496,2.2,2.6,.860,0.8,2.5,3.4,1.7,1.5,0.2,1.1,2.2,13.7
4,Raymond Felton,27,60,56,31.8,4.4,10.7,.407,1.0,3.4,.305,3.3,7.3,.453,.455,1.7,2.1,.806,0.5,2.0,2.5,6.5,1.3,0.2,2.8,2.0,11.4
5,J.J. Hickson,23,19,10,31.6,6.3,11.5,.543,0.0,0.1,.000,6.3,11.5,.546,.543,2.6,4.0,.645,3.5,4.8,8.3,1.2,0.6,0.9,1.6,2.2,15.1
6,Nicolas Batum,23,59,34,30.4,4.9,10.9,.451,1.8,4.6,.391,3.1,6.2,.496,.534,2.3,2.7,.836,1.4,3.2,4.6,1.4,1.0,1.0,1.5,1.8,13.9
7,Jamal Crawford,31,60,6,26.9,4.7,12.3,.384,1.3,4.3,.308,3.4,8.0,.426,.438,3.2,3.4,.927,0.3,1.7,2.0,3.2,0.9,0.2,1.9,1.2,14.0
8,Marcus Camby,37,40,40,22.4,1.7,4.0,.416,0.0,0.0,,1.7,4.0,.416,.416,0.5,1.0,.474,2.6,6.2,8.9,1.9,0.8,1.4,1.2,2.2,3.8
9,Joel Przybilla,32,27,19,16.6,0.8,1.8,.458,0.0,0.0,,0.8,1.8,.458,.458,0.4,0.7,.611,1.1,4.0,5.1,0.2,0.1,0.6,0.8,2.4,2.0
10,Jonny Flynn,22,18,1,15.6,1.9,5.0,.378,0.4,1.4,.320,1.4,3.6,.400,.422,1.0,1.4,.720,0.4,1.3,1.7,3.8,0.2,0.1,1.5,0.8,5.2
11,Kurt Thomas,39,53,3,15.2,1.4,3.0,.465,0.0,0.0,,1.4,3.0,.465,.465,0.3,0.4,.700,0.7,2.8,3.5,0.9,0.5,0.6,0.6,2.3,3.0
12,Luke Babbitt,22,40,4,13.4,1.8,4.3,.410,1.1,2.5,.430,0.7,1.8,.384,.535,0.4,0.5,.850,0.4,2.0,2.4,0.4,0.3,0.1,0.7,1.2,5.1
13,Nolan Smith,23,44,4,12.3,1.5,4.1,.372,0.3,1.0,.289,1.2,3.1,.400,.408,0.5,0.6,.714,0.4,0.9,1.3,1.4,0.4,0.1,1.0,1.3,3.8
14,Craig Smith,28,47,0,9.9,1.3,2.5,.504,0.0,0.0,.000,1.3,2.5,.509,.504,0.8,1.1,.717,0.7,1.6,2.3,0.4,0.3,0.1,0.5,1.2,3.3
15,Hasheem Thabeet,24,15,3,7.7,0.5,1.2,.444,0.0,0.0,,0.5,1.2,.444,.444,0.9,1.3,.650,1.0,1.3,2.3,0.0,0.1,0.5,0.5,1.0,1.9
16,Elliot Williams,22,24,0,6.2,1.5,3.1,.500,0.3,1.1,.296,1.2,2.0,.617,.554,0.3,0.8,.333,0.3,0.5,0.8,0.3,0.3,0.1,0.2,0.8,3.7
17,Armon Johnson,22,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
18,Chris Johnson,26,20,0,4.7,0.6,1.2,.478,0.0,0.0,,0.6,1.2,.478,.478,0.5,0.6,.833,0.4,0.5,0.9,0.1,0.1,0.4,0.4,1.0,1.6
